PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID),PUWeekday
Manhattan,Yorkville East,194928,262,194928,Tuesday
Manhattan,Little Italy/NoLiTa,193554,144,193554,Friday
Manhattan,Kips Bay,190718,137,190718,Tuesday
Manhattan,UN/Turtle Bay South,187727,233,187727,Saturday
Manhattan,Lincoln Square West,185125,143,185125,Friday
Manhattan,Kips Bay,182051,137,182051,Sunday
Manhattan,Meatpacking/West Village West,181920,158,181920,Thursday
Manhattan,Lincoln Square West,181148,143,181148,Thursday
Manhattan,Greenwich Village South,180866,114,180866,Tuesday
Manhattan,Lincoln Square West,178867,143,178867,Wednesday
Manhattan,Clinton West,178086,50,178086,Saturday
Manhattan,Yorkville East,177516,262,177516,Saturday
Manhattan,Yorkville East,176053,262,176053,Monday
Manhattan,Lenox Hill East,176015,140,176015,Sunday
Manhattan,Lincoln Square West,175339,143,175339,Saturday
Manhattan,Kips Bay,175047,137,175047,Monday
Manhattan,Battery Park City,173598,13,173598,Thursday
Manhattan,Little Italy/NoLiTa,172980,144,172980,Thursday
Manhattan,Lincoln Square West,172683,143,172683,Tuesday
Manhattan,Battery Park City,170917,13,170917,Wednesday
Manhattan,SoHo,168599,211,168599,Saturday
Manhattan,Meatpacking/West Village West,168543,158,168543,Wednesday
Manhattan,Clinton West,168037,50,168037,Sunday
Manhattan,Battery Park City,167408,13,167408,Friday
Manhattan,Lower East Side,166978,148,166978,Wednesday
Manhattan,Little Italy/NoLiTa,164529,144,164529,Wednesday
Manhattan,Greenwich Village South,161208,114,161208,Monday
Manhattan,Clinton West,160628,50,160628,Friday
Manhattan,Battery Park City,159803,13,159803,Tuesday
Manhattan,UN/Turtle Bay South,159696,233,159696,Sunday
Manhattan,Lincoln Square West,158409,143,158409,Monday
Manhattan,Clinton West,157928,50,157928,Thursday
Manhattan,Lincoln Square West,155797,143,155797,Sunday
Manhattan,Manhattan Valley,154113,151,154113,Saturday
Manhattan,Clinton West,151716,50,151716,Wednesday
Manhattan,Little Italy/NoLiTa,149543,144,149543,Tuesday
Manhattan,Manhattan Valley,149387,151,149387,Friday
Manhattan,Meatpacking/West Village West,148378,158,148378,Tuesday
Manhattan,Yorkville East,148209,262,148209,Sunday
Manhattan,Battery Park City,145296,13,145296,Monday
Manhattan,Financial District North,144397,87,144397,Thursday
Manhattan,Manhattan Valley,142606,151,142606,Sunday
Manhattan,Financial District North,141277,87,141277,Friday
Manhattan,SoHo,140652,211,140652,Friday
Manhattan,SoHo,140237,211,140237,Sunday
Manhattan,Clinton West,139516,50,139516,Tuesday
Manhattan,Little Italy/NoLiTa,138983,144,138983,Monday
Manhattan,Lower East Side,138350,148,138350,Tuesday
Manhattan,Meatpacking/West Village West,138099,158,138099,Monday
Manhattan,Financial District North,137275,87,137275,Wednesday
Manhattan,Battery Park City,137155,13,137155,Saturday
Manhattan,Manhattan Valley,136200,151,136200,Thursday
Manhattan,Manhattan Valley,134703,151,134703,Wednesday
Manhattan,SoHo,134640,211,134640,Thursday
Manhattan,SoHo,131872,211,131872,Wednesday
Manhattan,Clinton West,131767,50,131767,Monday
Manhattan,Manhattan Valley,130157,151,130157,Tuesday
Manhattan,Financial District North,127536,87,127536,Saturday
Manhattan,Lower East Side,126543,148,126543,Monday
Manhattan,Financial District North,126014,87,126014,Tuesday
Manhattan,Manhattan Valley,123641,151,123641,Monday
Manhattan,SoHo,121050,211,121050,Tuesday
Manhattan,World Trade Center,120069,261,120069,Saturday
Manhattan,East Harlem South,119179,75,119179,Friday
Manhattan,Battery Park City,114221,13,114221,Sunday
Manhattan,Financial District North,112892,87,112892,Monday
Manhattan,East Harlem South,111792,75,111792,Saturday
Manhattan,SoHo,111593,211,111593,Monday
Manhattan,East Harlem South,107454,75,107454,Thursday
Manhattan,East Harlem South,105854,75,105854,Wednesday
Manhattan,Hudson Sq,105211,125,105211,Wednesday
Manhattan,Hudson Sq,103291,125,103291,Friday
Manhattan,East Harlem South,102174,75,102174,Sunday
Manhattan,Financial District North,101996,87,101996,Sunday
Manhattan,Hudson Sq,101936,125,101936,Thursday
Manhattan,Hudson Sq,101590,125,101590,Saturday
Manhattan,World Trade Center,100752,261,100752,Friday
Manhattan,World Trade Center,100565,261,100565,Sunday
Manhattan,East Harlem South,99144,75,99144,Tuesday
Manhattan,World Trade Center,97997,261,97997,Thursday
Manhattan,Hudson Sq,95729,125,95729,Tuesday
Manhattan,World Trade Center,94889,261,94889,Wednesday
Manhattan,East Harlem South,93611,75,93611,Monday
Manhattan,World Trade Center,88964,261,88964,Tuesday
Manhattan,Morningside Heights,88457,166,88457,Friday
Manhattan,World Trade Center,87194,261,87194,Monday
Manhattan,Hudson Sq,87078,125,87078,Monday
Manhattan,Hudson Sq,86340,125,86340,Sunday
Manhattan,Morningside Heights,84824,166,84824,Thursday
Manhattan,Morningside Heights,81928,166,81928,Wednesday
Manhattan,Morningside Heights,79478,166,79478,Saturday
Manhattan,Morningside Heights,79136,166,79136,Tuesday
Manhattan,Financial District South,77623,88,77623,Thursday
Manhattan,Financial District South,74535,88,74535,Wednesday
Manhattan,Morningside Heights,73657,166,73657,Monday
Manhattan,Morningside Heights,73632,166,73632,Sunday
Manhattan,East Harlem North,72500,74,72500,Saturday
Manhattan,Financial District South,72408,88,72408,Friday
Manhattan,Central Harlem,69533,41,69533,Saturday
Manhattan,East Harlem North,68249,74,68249,Friday
Manhattan,Financial District South,67921,88,67921,Tuesday
Manhattan,East Harlem North,67503,74,67503,Sunday
Manhattan,Central Harlem,67112,41,67112,Sunday
Manhattan,Alphabet City,65193,4,65193,Saturday
Manhattan,Central Harlem,64110,41,64110,Friday
Manhattan,Financial District South,61471,88,61471,Monday
Manhattan,Financial District South,59145,88,59145,Saturday
Manhattan,Stuy Town/Peter Cooper Village,57053,224,57053,Saturday
Manhattan,Alphabet City,55877,4,55877,Sunday
Manhattan,East Harlem North,54824,74,54824,Thursday
Manhattan,Bloomingdale,54802,24,54802,Saturday
Manhattan,Central Harlem,52804,41,52804,Thursday
Manhattan,Bloomingdale,51582,24,51582,Friday
Manhattan,East Harlem North,51300,74,51300,Wednesday
Manhattan,Central Harlem,50517,41,50517,Wednesday
Manhattan,Bloomingdale,49467,24,49467,Sunday
Manhattan,Stuy Town/Peter Cooper Village,49281,224,49281,Friday
Manhattan,East Harlem North,49264,74,49264,Monday
Manhattan,Two Bridges/Seward Park,48275,232,48275,Saturday
Manhattan,East Harlem North,47849,74,47849,Tuesday
Manhattan,Stuy Town/Peter Cooper Village,47654,224,47654,Sunday
Manhattan,Central Harlem,47308,41,47308,Tuesday
Manhattan,Financial District South,47127,88,47127,Sunday
Manhattan,Bloomingdale,47024,24,47024,Thursday
Manhattan,Central Harlem,46575,41,46575,Monday
Manhattan,Alphabet City,45742,4,45742,Friday
Manhattan,Bloomingdale,45012,24,45012,Wednesday
Manhattan,Chinatown,44544,45,44544,Saturday
Manhattan,Stuy Town/Peter Cooper Village,44316,224,44316,Thursday
Manhattan,Bloomingdale,43365,24,43365,Tuesday
Manhattan,Two Bridges/Seward Park,43103,232,43103,Sunday
Manhattan,Stuy Town/Peter Cooper Village,42465,224,42465,Wednesday
Manhattan,Stuy Town/Peter Cooper Village,41077,224,41077,Tuesday
Queens,Astoria,40524,7,40524,Saturday
Manhattan,Chinatown,39913,45,39913,Friday
Manhattan,Bloomingdale,39849,24,39849,Monday
Queens,Astoria,39051,7,39051,Sunday
Manhattan,Chinatown,38210,45,38210,Sunday
Brooklyn,Williamsburg (North Side),37927,255,37927,Saturday
Manhattan,Chinatown,37323,45,37323,Thursday
Manhattan,Seaport,37277,209,37277,Saturday
Manhattan,Stuy Town/Peter Cooper Village,36851,224,36851,Monday
Manhattan,Seaport,36218,209,36218,Friday
Manhattan,Chinatown,35573,45,35573,Wednesday
Manhattan,Alphabet City,35169,4,35169,Thursday
Manhattan,Seaport,34737,209,34737,Thursday
Brooklyn,Williamsburg (North Side),34301,255,34301,Sunday
Manhattan,Chinatown,33936,45,33936,Tuesday
Queens,Sunnyside,33467,226,33467,Saturday
Manhattan,Two Bridges/Seward Park,32617,232,32617,Friday
Manhattan,Alphabet City,31856,4,31856,Wednesday
Manhattan,Seaport,31787,209,31787,Wednesday
Manhattan,Chinatown,31665,45,31665,Monday
Queens,Sunnyside,30464,226,30464,Sunday
Manhattan,Seaport,30381,209,30381,Sunday
Manhattan,Central Harlem North,30205,42,30205,Saturday
Manhattan,Central Harlem North,30183,42,30183,Sunday
Brooklyn,Williamsburg (South Side),29860,256,29860,Saturday
Manhattan,Central Harlem North,29682,42,29682,Friday
Brooklyn,Williamsburg (South Side),28949,256,28949,Sunday
Queens,Astoria,28939,7,28939,Friday
Manhattan,Seaport,28890,209,28890,Tuesday
Queens,Sunnyside,28506,226,28506,Friday
Manhattan,Alphabet City,28480,4,28480,Tuesday
Manhattan,Two Bridges/Seward Park,27032,232,27032,Thursday
Brooklyn,Park Slope,26464,181,26464,Saturday
Manhattan,Alphabet City,26413,4,26413,Monday
Brooklyn,Downtown Brooklyn/MetroTech,26263,65,26263,Saturday
Manhattan,Seaport,26060,209,26060,Monday
Queens,Sunnyside,25885,226,25885,Thursday
Queens,Sunnyside,25517,226,25517,Wednesday
Brooklyn,Downtown Brooklyn/MetroTech,25358,65,25358,Friday
Queens,Sunnyside,25164,226,25164,Monday
Manhattan,Central Harlem North,25029,42,25029,Thursday
Queens,Sunnyside,24869,226,24869,Tuesday
Brooklyn,Park Slope,24464,181,24464,Sunday
Queens,Long Island City/Queens Plaza,24446,146,24446,Saturday
Queens,Astoria,24157,7,24157,Monday
Queens,Astoria,23862,7,23862,Thursday
Queens,Long Island City/Hunters Point,23815,145,23815,Saturday
Manhattan,Two Bridges/Seward Park,23515,232,23515,Wednesday
Brooklyn,Downtown Brooklyn/MetroTech,23200,65,23200,Sunday
Manhattan,Hamilton Heights,23149,116,23149,Saturday
Brooklyn,Downtown Brooklyn/MetroTech,23000,65,23000,Thursday
Manhattan,Hamilton Heights,22875,116,22875,Sunday
Queens,Astoria,22805,7,22805,Wednesday
Manhattan,Central Harlem North,22761,42,22761,Wednesday
Queens,Astoria,22016,7,22016,Tuesday
Manhattan,Two Bridges/Seward Park,22000,232,22000,Tuesday
Brooklyn,Boerum Hill,21968,25,21968,Saturday
Manhattan,Central Harlem North,21822,42,21822,Monday
Manhattan,Central Harlem North,21525,42,21525,Tuesday
Brooklyn,Downtown Brooklyn/MetroTech,21478,65,21478,Wednesday
Manhattan,Two Bridges/Seward Park,21350,232,21350,Monday
Brooklyn,Fort Greene,21216,97,21216,Saturday
Queens,Long Island City/Queens Plaza,21003,146,21003,Sunday
Manhattan,Hamilton Heights,20832,116,20832,Friday
Queens,Long Island City/Hunters Point,20762,145,20762,Friday
Brooklyn,Williamsburg (North Side),20191,255,20191,Friday
Brooklyn,Brooklyn Heights,20085,33,20085,Friday
Brooklyn,Downtown Brooklyn/MetroTech,19910,65,19910,Tuesday
Queens,Long Island City/Hunters Point,19549,145,19549,Thursday
Queens,Long Island City/Hunters Point,19512,145,19512,Sunday
Brooklyn,Downtown Brooklyn/MetroTech,19462,65,19462,Monday
Brooklyn,Boerum Hill,19327,25,19327,Sunday
Brooklyn,Boerum Hill,19207,25,19207,Friday
Brooklyn,Brooklyn Heights,19091,33,19091,Thursday
Brooklyn,Park Slope,18874,181,18874,Friday
Queens,Long Island City/Hunters Point,18844,145,18844,Wednesday
Manhattan,Manhattanville,18714,152,18714,Saturday
Brooklyn,Brooklyn Heights,18608,33,18608,Saturday
Manhattan,Washington Heights South,18344,244,18344,Friday
Brooklyn,Fort Greene,18212,97,18212,Sunday
Manhattan,Washington Heights South,18152,244,18152,Sunday
Manhattan,Manhattanville,18055,152,18055,Sunday
Queens,Long Island City/Queens Plaza,17614,146,17614,Friday
Brooklyn,Brooklyn Heights,17606,33,17606,Wednesday
Brooklyn,Park Slope,17516,181,17516,Thursday
