PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID)
Queens,East Flushing,64,73,64
Staten Island,Oakwood,9,176,9
Queens,Astoria,47685,7,47685
Queens,Elmhurst,8104,82,8104
Queens,Flushing,1408,92,1408
Queens,Maspeth,1250,157,1250
Bronx,Highbridge,919,119,919
Bronx,Mount Hope,472,169,472
Queens,Woodhaven,376,258,376
Brooklyn,Madison,174,149,174
Queens,Far Rockaway,37,86,37
Queens,Bellerose,272,19,272
Queens,Glendale,234,102,234
Bronx,Bronx Park,182,31,182
Queens,Rosedale,171,203,171
Queens,Auburndale,121,9,121
Unknown,NA,14298,265,14298
Bronx,Longwood,224,147,224
Bronx,Bronxdale,106,32,106
Queens,Douglaston,93,64,93
Bronx,Eastchester,92,81,92
Bronx,Pelham Bay,41,183,41
Queens,Jamaica Bay,24,2,24
Bronx,City Island,22,46,22
Queens,Bayside,164,16,164
Queens,Corona,126,57,126
Queens,Hollis,53,122,53
