PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID),payment_type
Manhattan,TriBeCa/Civic Center,2593,231,2593,4
Manhattan,Sutton Place/Turtle Bay North,2578,229,2578,4
Brooklyn,Crown Heights South,2577,62,2577,2
Manhattan,Financial District South,2575,88,2575,3
Manhattan,Yorkville East,890897,262,890897,1
Manhattan,Little Italy/NoLiTa,885595,144,885595,1
Manhattan,Lincoln Square West,834430,143,834430,1
Manhattan,Lenox Hill West,833535,141,833535,2
Manhattan,East Chelsea,823034,68,823034,2
Manhattan,Greenwich Village South,1146877,114,1146877,1
Unknown,NV,1141688,264,1141688,1
Manhattan,Lincoln Square East,1075915,142,1075915,2
Manhattan,Midtown North,1073763,163,1073763,2
Manhattan,Murray Hill,1051881,170,1051881,2
Manhattan,UN/Turtle Bay South,1029769,233,1029769,1
Manhattan,Kips Bay,1002261,137,1002261,1
Queens,JFK Airport,999157,132,999157,2
Manhattan,Union Sq,968210,234,968210,2
Manhattan,Meatpacking/West Village West,961108,158,961108,1
Manhattan,UN/Turtle Bay South,443973,233,443973,2
Manhattan,World Trade Center,426383,261,426383,1
Manhattan,Yorkville East,425907,262,425907,2
Manhattan,East Harlem South,410295,75,410295,1
Manhattan,Kips Bay,406625,137,406625,2
Brooklyn,Brooklyn Heights,38431,33,38431,2
Queens,JFK Airport,38395,132,38395,3
Queens,Old Astoria,37255,179,37255,2
Brooklyn,DUMBO/Vinegar Hill,35400,66,35400,1
Queens,Steinway,33905,223,33905,1
Queens,Steinway,33487,223,33487,2
Brooklyn,Park Slope,1428,181,1428,3
Manhattan,Stuy Town/Peter Cooper Village,1408,224,1408,3
Bronx,University Heights/Morris Heights,1389,235,1389,2
Brooklyn,Borough Park,1380,26,1380,2
Manhattan,Manhattan Valley,1379,151,1379,4
Manhattan,Hamilton Heights,72029,116,72029,1
Queens,Long Island City/Hunters Point,70244,145,70244,2
Manhattan,Seaport,70094,209,70094,2
Brooklyn,Fort Greene,65440,97,65440,1
Manhattan,Washington Heights South,61685,244,61685,1
Queens,Elmhurst,9682,82,9682,1
Manhattan,Flatiron,9508,90,9508,3
Queens,JFK Airport,9492,132,9492,4
Manhattan,Sutton Place/Turtle Bay North,9062,229,9062,3
Bronx,West Concourse,9042,247,9042,1
Queens,Forest Hills,8856,95,8856,2
Queens,Hollis,20,122,20,3
Manhattan,Roosevelt Island,20,202,20,4
Brooklyn,Borough Park,20,26,20,4
Staten Island,Eltingville/Annadale/Prince's Bay,20,84,20,1
Bronx,Bronxdale,20,32,20,3
Staten Island,Rossville/Woodrow,20,204,20,1
Manhattan,Central Park,948056,43,948056,1
Manhattan,Garment District,933661,100,933661,2
Manhattan,Upper West Side South,914461,239,914461,2
Manhattan,Midtown South,901623,164,901623,2
Manhattan,East Village,897295,79,897295,2
Manhattan,Seaport,153619,209,153619,1
Manhattan,Chinatown,153254,45,153254,1
Manhattan,Financial District South,142591,88,142591,2
Manhattan,Two Bridges/Seward Park,139649,232,139649,1
Manhattan,Bloomingdale,120769,24,120769,2
Bronx,Mott Haven/Port Morris,6288,168,6288,1
Manhattan,UN/Turtle Bay South,6282,233,6282,3
Brooklyn,Stuyvesant Heights,6158,225,6158,2
Manhattan,Clinton East,6073,48,6073,4
Queens,Long Island City/Hunters Point,6053,145,6053,3
Queens,Bellerose,97,19,97,3
Brooklyn,Starrett City,96,222,96,2
Brooklyn,Prospect Park,95,190,95,3
Brooklyn,Flatbush/Ditmas Park,94,89,94,4
Brooklyn,Red Hook,91,195,91,3
Queens,Ridgewood,91,198,91,3
Bronx,Highbridge,91,119,91,3
Brooklyn,Downtown Brooklyn/MetroTech,56627,65,56627,2
Manhattan,Manhattanville,51135,152,51135,2
Manhattan,Washington Heights South,49720,244,49720,2
Brooklyn,Park Slope,47317,181,47317,2
Brooklyn,Cobble Hill,47312,52,47312,1
Manhattan,Upper West Side South,10203,239,10203,3
Queens,Flushing Meadows-Corona Park,10171,93,10171,1
Manhattan,Gramercy,10057,107,10057,3
Brooklyn,Bushwick North,9938,36,9938,1
Manhattan,TriBeCa/Civic Center,9808,231,9808,3
Manhattan,Stuy Town/Peter Cooper Village,96710,224,96710,2
Manhattan,Alphabet City,96433,4,96433,2
Manhattan,Central Harlem North,95101,42,95101,2
Brooklyn,Brooklyn Heights,84997,33,84997,1
Queens,Sunnyside,84822,226,84822,1
Manhattan,Penn Station/Madison Sq West,6772,186,6772,4
Brooklyn,Bushwick North,6519,36,6519,2
EWR,Newark Airport,6513,1,6513,1
Manhattan,Meatpacking/West Village West,6449,158,6449,3
Brooklyn,Sunset Park West,6431,228,6431,1
Queens,Long Island City/Queens Plaza,2495,146,2495,3
Queens,Springfield Gardens South,2461,219,2461,2
Manhattan,Roosevelt Island,2408,202,2408,2
Brooklyn,Prospect Park,2378,190,2378,2
Brooklyn,Windsor Terrace,2371,257,2371,1
Queens,Hollis,87,122,87,2
Manhattan,Washington Heights North,86,243,86,4
Brooklyn,Prospect-Lefferts Gardens,85,188,85,4
Manhattan,Governor's Island/Ellis Island/Liberty Island,85,105,85,1
Bronx,Morrisania/Melrose,84,167,84,3
Manhattan,Alphabet City,189970,4,189970,1
Manhattan,Morningside Heights,182973,166,182973,2
Manhattan,East Harlem North,180887,74,180887,1
Manhattan,Central Harlem,173214,41,173214,2
Manhattan,Hudson Sq,173169,125,173169,2
Manhattan,West Village,11019,249,11019,3
Manhattan,Lenox Hill West,10412,141,10412,3
Manhattan,Washington Heights North,10323,243,10323,2
Manhattan,Lower East Side,10220,148,10220,3
Queens,Elmhurst/Maspeth,10214,83,10214,2
